Start_IATA,Start_Airport,Start_Lat,Start_Lon,End_IATA,End_Airport,End_Lat,End_Lon,Distance,CostPerKm,Price,Start_City,End_City
AMD,Sardar Vallabhbhai Patel International Airport,23.0772,72.6347,BLR,Bengaluru International Airport,13.1979,77.7063,1230.01,12.9,15862.7,Ahmedabad,Bangalore
BLR,Bengaluru International Airport,13.1979,77.7063,AMD,Sardar Vallabhbhai Patel International Airport,23.0772,72.6347,1222.04,12.91,15772.03,Bangalore,Ahmedabad
BLR,Bengaluru International Airport,13.1979,77.7063,CCU,Netaji Subhash Chandra Bose International Airport,22.6547,88.4467,1547.1,8.11,12545.92,Bangalore,Kolkata
BLR,Bengaluru International Airport,13.1979,77.7063,COK,Cochin International Airport,10.152,76.4019,368.0,28.54,10502.48,Bangalore,Cochin
BLR,Bengaluru International Airport,13.1979,77.7063,DEL,Indira Gandhi International Airport,28.5665,77.1031,2149.91,5.14,11044.07,Bangalore,New Delhi
BLR,Bengaluru International Airport,13.1979,77.7063,GOI,Dabolim Airport,15.3808,73.8314,482.99,22.26,10749.79,Bangalore,Dabolim
BLR,Bengaluru International Airport,13.1979,77.7063,HYD,Rajiv Gandhi International Airport Shamshabad,17.23132,78.42986,499.99,18.31,9154.33,Bangalore,Hyderabad
BLR,Bengaluru International Airport,13.1979,77.7063,IXA,Agartala Airport,23.887,91.2404,1855.2,6.71,12450.28,Bangalore,Agartala
BLR,Bengaluru International Airport,13.1979,77.7063,IXB,Bagdogra Airport,26.6812,88.3286,1864.05,10.16,18939.17,Bangalore,Siliguri
BLR,Bengaluru International Airport,13.1979,77.7063,IXC,Chandigarh Airport,30.6735,76.7885,1946.08,8.19,15944.48,Bangalore,Chandigarh
BLR,Bengaluru International Airport,13.1979,77.7063,IXE,Mangalore International Airport,12.9613,74.8901,306.99,26.98,8282.59,Bangalore,Mangalore
BLR,Bengaluru International Airport,13.1979,77.7063,IXJ,Jammu Airport,32.6891,74.8374,2186.94,15.01,32825.13,Bangalore,Jammu
BLR,Bengaluru International Airport,13.1979,77.7063,IXL,Leh Kushok Bakula Rimpochee Airport,34.1359,77.5465,2328.63,12.89,30026.2,Bangalore,Leh
BLR,Bengaluru International Airport,13.1979,77.7063,IXM,Madurai Airport,9.83451,78.0934,377.0,40.94,15434.99,Bangalore,Madurai
BLR,Bengaluru International Airport,13.1979,77.7063,IXS,Silchar Airport,24.9129,92.9787,2064.02,8.89,18355.31,Bangalore,Silchar
BLR,Bengaluru International Airport,13.1979,77.7063,IXU,Aurangabad Airport,19.8627,75.3981,781.0,24.18,18880.82,Bangalore,Aurangabad
BLR,Bengaluru International Airport,13.1979,77.7063,IXY,Kandla Airport,23.1127,70.1003,1363.96,32.22,43950.17,Bangalore,Kandla
BLR,Bengaluru International Airport,13.1979,77.7063,IXZ,Vir Savarkar International Airport,11.6412,92.7297,1640.94,11.33,18591.28,Bangalore,Port Blair
